level	headword	pos	en	vi	soat
B1	cheap	adj	Of little worth.	rẻ tiền, không đáng giá	ok
B1	cheap	adj	Of poor quality.	kém chất lượng, rẻ tiền	ok
B1	cheese	noun	(countable) A piece of cheese, especially one moulded into a large round shape during manufacture.	khối phô mai, bánh phô mai	ok
B1	cheese	noun	(countable) Any particular variety of cheese.	loại phô mai	ok
B1	cheese	noun	(gaming) The exploitation, or opportunity for exploitation, of an unintentional video game mechanic.	(trò chơi điện tử, thông tục) mẹo lợi dụng lỗi game	ok
B1	cheese	noun	(slang) Wealth, fame, excellence, importance.	(tiếng lóng) tiền, danh tiếng, quyền lực	ok
B1	cheese	noun	(uncountable, UK) A thick variety of jam (fruit preserve), as distinguished from a thinner variety (sometimes called jelly)	(Anh) mứt quả đặc	ok
B1	cheese	noun	(uncountable) A dairy product made from curdled or cultured milk.	pho mát	ok
B1	cheese	phrase	(photography) Said while being photographed, to give the impression of smiling.	hai	mất nhãn (nhiếp ảnh) và "hai" không diễn đạt được nghĩa — nên là "(nhiếp ảnh) cười lên nào; hai... ba..."
B1	cheese	verb	(Internet slang, gaming, ambitransitive) To use a controversial or unsporting tactic to gain an advantage (especially in a game.)	(trò chơi điện tử, thông tục) chơi bẩn, lợi dụng lỗi game để thắng	ok
B1	cheese	verb	(slang) To anger or irritate someone, usually in combination with "off".	(thông tục, Anh) làm bực mình, chọc tức	ok
B1	cheese	verb	(slang) To smile excessively, as for a camera.	(thông tục) cười toe toét (khi chụp ảnh)	ok
B1	cheese	verb	(slang) To stop; to refrain from.	(tiếng lóng, cổ) dừng lại, thôi	ok
B1	cheese	verb	(technology) To make holes in a pattern of circuitry to decrease pattern density.	(kỹ thuật) khoét lỗ để giảm mật độ mạch	ok
B1	cheese	verb	(video games, slang) To use an unconventional, all-in strategy to take one's opponent by surprise early in the game (especially for real-time strategy games).	(trò chơi điện tử, thông tục) dùng chiến thuật liều lĩnh, bất ngờ	ok
B1	cheese	verb	To prepare curds for making cheese.	làm phô mai	ok
B1	chef	noun	(historical) A reliquary in the shape of a head.	(tôn giáo, cổ) hộp thánh tích hình đầu người	ok
B1	chef	noun	Any cook.	đầu bếp, người nấu ăn	ok
B1	chef	noun	The head cook of a restaurant or other establishment.	đầu bếp trưởng, bếp trưởng	ok
B1	chef	noun	The presiding cook in the kitchen of a large household.	bếp trưởng (gia đình)	ok
B1	chef	verb	(Internet slang) To impress others.	(tiếng lóng mạng) gây ấn tượng, làm mê mẩn	ok
B1	chef	verb	(MLE, transitive) To stab with a knife, to shank.	(tiếng lóng, Anh) đâm dao	ok
B1	chef	verb	(stative, informal) To work as a chef; to prepare and cook food professionally.	(thông tục) làm đầu bếp	ok
B1	china	noun	(countable) Synonym of China rose, in its various senses.	hoa hồng Trung Quốc	ok
B1	china	noun	(uncountable) Chinaware: porcelain tableware.	đồ sứ	ok
B1	china	noun	(uncountable) Synonym of China root, the root of Smilax china (particularly) as a medicine.	(y học cổ truyền) thổ phục linh	ok
B1	china	noun	(uncountable) Synonym of porcelain, a hard white translucent ceramic made from kaolin, now (chiefly US) sometimes distinguished in reference to tableware as fine or good china.	sứ, đồ sứ	ok
B1	clock	noun	(attributive) A common noun relating to an instrument that measures or keeps track of time.	đồng hồ	ok
B1	clock	noun	(British) The odometer of a motor vehicle.	(Anh) công tơ mét, đồng hồ đo quãng đường	ok
B1	clock	noun	A chronometer, an instrument that measures time, particularly the time of day.	đồng hồ	ok
B1	clock	noun	A large beetle, especially the European dung beetle (Geotrupes stercorarius).	bọ hung	ok
B1	clock	noun	A pattern near the heel of a sock or stocking.	hoạ tiết ở gót tất	ok
B1	clock	noun	The seed head of a dandelion.	cụm hạt bồ công anh	ok
B1	clock	verb	(transitive, informal) To notice; to take notice of (someone or something).	để ý, nhận ra	ok
B1	clock	verb	(transitive, slang) To hit (someone) heavily.	(thông tục) đấm, nện	ok
B1	clock	verb	(transitive) To measure the duration of.	bấm giờ, đo thời gian	ok
B1	clock	verb	(transitive) To measure the speed of.	đo tốc độ, bắn tốc độ	ok
B1	clock	verb	(transitive) To ornament (e.g. the side of a stocking) with figured work.	thêu hoạ tiết (trên tất)	ok
B1	coat	noun	(countable, clothing) An outer garment covering the upper torso and arms.	áo bành tô	nghĩa quá hẹp: "áo bành tô" là một kiểu áo khoác dài cụ thể, không phải áo khoác nói chung — nên là "áo khoác"
B1	coat	noun	(countable) A covering of material, such as paint.	lớp phủ	ok
B1	coat	noun	(countable) The fur or feathers covering an animal's skin.	bộ lông	ok
B1	coat	noun	The habit or vesture of an order of men, indicating the order or office; cloth.	phẩm phục, áo choàng (biểu thị chức vị)	ok
B1	coat	verb	(transitive) To cover like a coat.	phủ lên, bao phủ	ok
B1	coat	verb	(transitive) To cover with a coating of some material.	phủ, tráng	ok
B1	competition	noun	(countable) A contest for a prize or award.	cuộc thi	ok
B1	competition	noun	(uncountable, collectively) The competitors in such a contest.	các đối thủ cạnh tranh	ok
B1	competition	noun	(uncountable) The action of competing.	sự cạnh tranh	ok
B1	connection	noun	(uncountable) The act of connecting.	sự kết nối	ok
B1	connection	noun	A physical link between two things or places.	đường nối, mối nối	ok
B1	connection	noun	A relationship or association.	mối quan hệ, mối liên hệ	ok
B1	connection	noun	The point at which two or more things are connected.	điểm nối, chỗ nối	ok
B1	contract	noun	(bridge) The declarer's undertaking to win the number of tricks bid with a stated suit as trump.	(bài bridge) hợp đồng	ok
B1	contract	noun	(law) An agreement which the law will enforce in some way. A legally binding contract must contain at least one promise, i.e., a commitment or offer, by an offeror to and accepted by an offeree to do something in the future. A contract is thus executory rather than executed.	(luật) hợp đồng	ok
B1	contract	noun	(law) The document containing such an agreement.	(luật) văn bản hợp đồng	ok
B1	contract	noun	An agreement between two or more parties, to perform a specific job or work order, often temporary or of fixed duration and usually governed by a written agreement.	hợp đồng, hợp đồng làm việc	ok
B1	contract	verb	(ambitransitive) To draw together or nearer; to shorten, narrow, or lessen.	co lại, thu nhỏ lại	ok
B1	contract	verb	(intransitive) To make an agreement or contract; to covenant.	ký hợp đồng, giao kết hợp đồng	ok
B1	contract	verb	(transitive) To bring on; to incur; to acquire.	mắc phải, nhiễm phải	ok
B1	contract	verb	(transitive) To enter into a contract with (someone or something).	ký hợp đồng với, thuê	ok
B1	crash	adj	Quick, fast, intensive, impromptu.	cấp tốc, khẩn cấp	ok
B1	crash	noun	(collective) A group of rhinoceroses.	đàn tê giác	ok
B1	crash	noun	(computing) A malfunction of computer software or hardware which causes it to shut down or become partially or totally inoperable.	(tin học) sự treo máy, sự sập hệ thống	ok
B1	crash	noun	(textiles) A type of rough linen.	(dệt may) vải lanh thô	ok
B1	crash	noun	A sudden, intense, loud sound, as made for example by cymbals.	hét	sai từ loại và sai nghĩa: "hét" là động từ chỉ tiếng người kêu, đây là danh từ chỉ tiếng động — nên là "tiếng rầm, tiếng loảng xoảng"
B1	crash	noun	An automobile, airplane, or other vehicle accident.	sự đụng xe	nghĩa quá hẹp: bản gốc gồm cả máy bay và phương tiện khác — nên là "vụ tai nạn, vụ va chạm (xe, máy bay)"
B1	crash	verb	(intransitive) To collide with something destructively; to fall or come down violently.	đâm vào, va chạm mạnh, đổ sầm xuống	ok
B1	crash	verb	(transitive) To cause something to collide with something else, especially when this results in damage.	làm đâm vào, gây va chạm	ok
B1	crash	verb	(transitive) To hit or strike with force.	đập mạnh vào, va đập mạnh	ok
B1	crash	verb	To make a sudden loud noise.	phát ra tiếng động lớn, kêu rầm	ok
B1	damage	noun	(slang) Cost or expense.	(khẩu ngữ) chi phí, giá phải trả	ok
B1	damage	noun	Injury or harm; the condition or measure of something not being intact.	thiệt hại, hư hại	ok
B1	damage	verb	(transitive) To impair the soundness, goodness, or value of; to harm or cause destruction.	làm hư hại, gây thiệt hại	ok
B1	damage	verb	(transitive) To remove a damaged or unsalable item from the sales floor for processing.	(bán lẻ) loại hàng hỏng khỏi kệ	ok
B1	data	noun	(collective, computing) A representation of information in a computer (as symbols, quantities, sound, images or videos) which is stored, processed or transmitted in the form of electrical signals, records on magnetic tape or punched cards, etc.	dữ liệu	ok
B1	data	noun	(collective) Material recorded and known or assumed as facts and used as a basis for reasoning, discussion, or calculation, represented especially in the form of numbers, and is usually structured (such as statistics).	dữ liệu, số liệu	ok
B1	data	noun	(mobile telephony) Ellipsis of mobile data (“digital information transmitted using the cellular telephone network rather than Wi-Fi”).	dữ liệu	mất nhãn và không đúng nghĩa này: đây là dữ liệu mạng di động, không phải dữ liệu nói chung — nên là "(viễn thông) dữ liệu di động"
B1	defense	noun	(government, military, euphemistic) Government policy or (infra)structure related to the military.	(quân sự) quốc phòng	ok
B1	defense	noun	An argument in support or justification of something.	phản biện	sai nghĩa: "phản biện" là lập luận bác bỏ, ngược với nghĩa bênh vực/biện minh — nên là "lời biện hộ, sự biện minh"
B1	defense	noun	Anything employed to oppose attack(s).	phòng thủ	ok
B1	defense	noun	The action of defending or protecting from attack, danger, or injury.	sự phòng thủ, sự bảo vệ	ok
B1	defense	verb	(sports, chiefly US) To employ defensive tactics (so as to block).	(thể thao, Mỹ) phòng thủ, cản phá	ok
B1	delicious	adj	(colloquial, figurative) Pleasing to a person's taste; pleasing to the eyes or mind.	(khẩu ngữ) thú vị, hấp dẫn, tuyệt vời	ok
B1	delicious	adj	(slang) Having tremendous sex appeal.	(tiếng lóng) quyến rũ, gợi cảm	ok
B1	delicious	adj	Pleasing to the sense of taste; tasty.	ngon, ngon miệng	ok
B1	deliver	verb	(process) Senses having to do with birth.	sinh con, đỡ đẻ	ok
B1	deliver	verb	To bring or transport something to its destination.	chuyển phát	ok
B1	deliver	verb	To free from or disburden of anything.	giải thoát, giải phóng (khỏi gánh nặng)	ok
B1	deliver	verb	To set free from restraint or danger.	giải cứu, giải thoát	ok
B1	dig	noun	(medicine, colloquial) Digoxin.	(y học, khẩu ngữ) digoxin	ok
B1	dig	noun	(volleyball) A defensive pass of the ball that has been attacked by the opposing team.	(bóng chuyền) cú đỡ bóng, cú cứu bóng	ok
B1	dig	noun	A cutting, sarcastic remark.	lời châm chọc, lời mỉa mai	ok
B1	dig	noun	A thrust; a poke.	cú thúc, cú huých	ok
B1	dig	noun	An archeological or paleontological investigation, or the site where such an investigation is taking place.	cuộc khai quật, địa điểm khai quật	ok
B1	dig	verb	(figurative) To investigate, to research, often followed by out or up.	tìm hiểu, điều tra, lục lọi	ok
B1	dig	verb	(transitive, intransitive) To move hard-packed earth out of the way, especially downward to make a hole with a shovel. Or to drill, or the like, through rocks, roads, or the like. More generally, to make any similar hole by moving material out of the way.	đào	ok
B1	dig	verb	(transitive) To get by digging; to take from the ground; often with up.	đào lên, khai quật	ok
B1	dig	verb	To thrust; to poke.	thúc, huých, chọc	ok
B1	direction	noun	A general trend for future action.	xu hướng, định hướng	ok
B1	direction	noun	A theoretical line (physically or mentally) followed from a point of origin or towards a destination. May be relative (e.g. up, left, outbound, dorsal), geographical (e.g. north), rotational (e.g. clockwise), or with respect to an object or location (e.g. toward Boston).	phương hướng, hướng	ok
B1	direction	noun	Guidance, instruction.	sự hướng dẫn, chỉ dẫn	ok
B1	direction	noun	The work of the director in cinema or theater; the skill of directing a film, play etc.	sự đạo diễn	ok
B1	divorce	noun	(zoology) The separation of a bonded pair of animals.	(động vật học) sự chia tách cặp đôi	ok
B1	divorce	noun	A separation of connected things.	sự tách rời, sự chia tách	ok
B1	divorce	noun	The legal dissolution of a marriage.	ly hôn	ok
B1	divorce	verb	(intransitive) To obtain a legal divorce.	ly hôn, ly dị	ok
B1	divorce	verb	(transitive) To end one's own marriage to (a person) in this way.	ly hôn	ok
B1	divorce	verb	(transitive) To legally dissolve a marriage between two people.	ly hôn	ok
B1	divorce	verb	(transitive) To separate something that was connected.	tách rời, chia tách	ok
B1	downstairs	adj	Located on a lower floor.	ở tầng dưới	ok
B1	downstairs	adv	(figurative) In or to hell.	(nghĩa bóng) xuống địa ngục	ok
B1	downstairs	adv	(slang, euphemistic) Regarding the genitalia.	(tiếng lóng) vùng kín, chỗ ấy	sai từ loại: đây là trạng từ (adv), bản dịch lại là danh từ (trùng với dòng danh từ) — nên là "(tiếng lóng) ở vùng kín, ở phía dưới"
B1	downstairs	adv	Down the stairs.	xuống cầu thang, xuống tầng dưới	ok
B1	downstairs	noun	(slang, euphemistic) The genitalia.	(tiếng lóng) vùng kín, chỗ ấy	ok
B1	downstairs	noun	The lower floor of a house, at ground level, or sometimes below.	tầng dưới, tầng trệt	ok
B1	event	noun	A prearranged social activity (function, etc.)	sự kiện	ok
B1	event	noun	An end result; an outcome (now chiefly in phrases).	kết quả, kết cục	ok
B1	event	noun	An occurrence; something that happens.	sự kiện	ok
B1	event	noun	One of several contests that combine to make up a competition.	(thể thao) nội dung thi đấu	ok
B1	expensive	adj	(computing) Taking a lot of system time or resources.	(tin học) tốn nhiều tài nguyên	ok
B1	expensive	adj	(cricket) Having a high economy rate.	(cricket) tốn nhiều điểm	ok
B1	expensive	adj	Having a high price or cost.	đắt	ok
B1	familiar	adj	Acquainted.	quen thuộc, quen biết	ok
B1	familiar	adj	Intimate or friendly.	thân mật, thân thiết	ok
B1	familiar	adj	Known to one, or generally known; commonplace.	quen thuộc, thông dụng	ok
B1	familiar	adj	Of or pertaining to a family; familial.	thuộc về gia đình	ok
B1	familiar	noun	(historical) The officer of the Inquisition who arrested suspected people.	(lịch sử) mật vụ của Tòa án dị giáo	ok
B1	familiar	noun	(witchcraft) An attendant spirit, often in animal or demon form.	sứ ma	thiếu nhãn "(witchcraft)" và từ "sứ ma" không phải cách diễn đạt tự nhiên/chuẩn trong tiếng Việt cho "attendant spirit" — nên là "linh vật hầu cận" hoặc "yêu tinh hầu cận"
B1	familiar	noun	A member of a pope's or bishop's household.	người hầu cận của giáo hoàng hoặc giám mục	ok
B1	fancy	adj	(colloquial) Unnecessarily complicated.	(khẩu ngữ) cầu kỳ, rắc rối không cần thiết	ok
B1	fancy	adj	Decorative, or featuring decorations, especially intricate or diverse ones.	cầu kỳ, trang trí công phu	ok
